Transaction Date,Description,Transaction Amount,Type
02/01/2024,AMAZON.IN,3500.00,Dr
05/01/2024,ZOMATO ONLINE,450.00,Dr
08/01/2024,NETFLIX.COM,649.00,Dr
10/01/2024,UBER TRIP,320.00,Dr
12/01/2024,SWIGGY,280.00,Dr
15/01/2024,FLIPKART,2800.00,Dr
18/01/2024,SPOTIFY SUBSCRIPTION,119.00,Dr
20/01/2024,REFUND - AMAZON,500.00,Cr
22/01/2024,BOOKMYSHOW,480.00,Dr
25/01/2024,MAKEMYTRIP HOTELS,5500.00,Dr
28/01/2024,DOMINOS PIZZA,650.00,Dr
30/01/2024,RELIANCE DIGITAL,12000.00,Dr
02/02/2024,CASHBACK REWARD,200.00,Cr
05/02/2024,URBAN COMPANY,1200.00,Dr
08/02/2024,PHARMEASY,850.00,Dr
